---,bCanMove,Hit_Stop,ShakeClass,Data,LastAttack,Input_But,Power
0,"False","0.000000","None","(Montage=AnimMontage'""/Game/_Character/_Player/_Third_Player/Animations/Katana/Attack/Combo_A/KatanaSamurai_APose_Attack5.KatanaSamurai_APose_Attack5""',PlayRatio=1.000000,StartSection="""",HittedEffect=(Effect=ParticleSystem'""/Game/InfinityBladeEffects/Effects/FX_Combat_Base/Impact/P_Impact_Enemy_Fire_Strong.P_Impact_Enemy_Fire_Strong""',EffectTransform=(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=0.700000,Y=0.700000,Z=0.700000)),HitSound=SoundCue'""/Game/Sounds/Enemy/Hitted/Katana_Hit_Cue.Katana_Hit_Cue""'),bCanMove=True)","False","Left","10.000000"
1,"False","0.000000","None","(Montage=AnimMontage'""/Game/_Character/_Player/_Third_Player/Animations/Katana/Attack/Combo_A/KatanaSamurai_APose_Attack2.KatanaSamurai_APose_Attack2""',PlayRatio=1.000000,StartSection="""",HittedEffect=(Effect=ParticleSystem'""/Game/InfinityBladeEffects/Effects/FX_Combat_Base/Impact/P_Impact_Enemy_Fire_Strong.P_Impact_Enemy_Fire_Strong""',EffectTransform=(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),HitSound=SoundCue'""/Game/Sounds/Enemy/Hitted/Katana_Hit_Cue.Katana_Hit_Cue""'),bCanMove=True)","False","Left","10.000000"
2,"False","0.000000","None","(Montage=AnimMontage'""/Game/_Character/_Player/_Third_Player/Animations/Katana/Attack/Combo_A/KatanaSamurai_APose_Attack3.KatanaSamurai_APose_Attack3""',PlayRatio=1.000000,StartSection="""",HittedEffect=(Effect=ParticleSystem'""/Game/InfinityBladeEffects/Effects/FX_Combat_Base/Impact/P_Impact_Enemy_Fire_Strong.P_Impact_Enemy_Fire_Strong""',EffectTransform=(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),HitSound=SoundCue'""/Game/Sounds/Enemy/Hitted/Katana_Hit_Cue.Katana_Hit_Cue""'),bCanMove=True)","False","Left","10.000000"
3,"False","0.000000","None","(Montage=AnimMontage'""/Game/_Character/_Player/_Third_Player/Animations/Katana/Attack/Combo_A/KatanaSamurai_APose_Attack4.KatanaSamurai_APose_Attack4""',PlayRatio=1.000000,StartSection="""",HittedEffect=(Effect=ParticleSystem'""/Game/InfinityBladeEffects/Effects/FX_Combat_Base/Impact/P_Impact_Enemy_Fire_Strong.P_Impact_Enemy_Fire_Strong""',EffectTransform=(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),HitSound=SoundCue'""/Game/Sounds/Enemy/Hitted/Katana_Hit_Cue.Katana_Hit_Cue""'),bCanMove=True)","False","Left","10.000000"
4,"False","0.000000","None","(Montage=AnimMontage'""/Game/_Character/_Player/_Third_Player/Animations/Katana/Block/KanataSamurai_DefenseR_Pose_Montage.KanataSamurai_DefenseR_Pose_Montage""',PlayRatio=1.000000,StartSection=""Loop"",HittedEffect=(Effect=None,EffectTransform=(Rotation=(X=0.000000,Y=0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),HitSound=None),bCanMove=True)","False","Right","1.000000"
5,"False","0.000000","None","(Montage=AnimMontage'""/Game/_Character/_Player/_Third_Player/Animations/Katana/Block/Counter/KatanaSamurai_DefenseR_Parry_Up_Execution_Sample_Montage.KatanaSamurai_DefenseR_Parry_Up_Execution_Sample_Montage""',PlayRatio=1.000000,StartSection="""",HittedEffect=(Effect=None,EffectTransform=(Rotation=(X=0.000000,Y=0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),HitSound=None),bCanMove=True)","False","L_LR","1.000000"
6,"False","0.000000","None","(Montage=AnimMontage'""/Game/_Character/_Player/_Third_Player/Animations/Katana/Block/KanataSamurai_DefenseL_Pose_Montage.KanataSamurai_DefenseL_Pose_Montage""',PlayRatio=1.000000,StartSection=""Loop"",HittedEffect=(Effect=None,EffectTransform=(Rotation=(X=0.000000,Y=0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),HitSound=None),bCanMove=True)","False","Right","1.000000"
7,"False","0.000000","None","(Montage=AnimMontage'""/Game/_Character/_Player/_Third_Player/Animations/Katana/Block/Counter/KatanaSamurai_DefenseL_Parry_Up_Execution_Sample_Montage.KatanaSamurai_DefenseL_Parry_Up_Execution_Sample_Montage""',PlayRatio=1.000000,StartSection="""",HittedEffect=(Effect=None,EffectTransform=(Rotation=(X=0.000000,Y=0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),HitSound=None),bCanMove=True)","False","R_LR","1.000000"
8,"False","0.000000","None","(Montage=AnimMontage'""/Game/_Character/_Player/_Third_Player/Animations/Katana/Block/Counter/Katana_FParrying_Montage.Katana_FParrying_Montage""',PlayRatio=1.000000,StartSection="""",HittedEffect=(Effect=None,EffectTransform=(Rotation=(X=0.000000,Y=0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),HitSound=None),bCanMove=True)","False","LR","1.000000"
9,"False","0.000000","None","(Montage=AnimMontage'""/Game/_Character/_Player/_Third_Player/Animations/Katana/Attack/Skill/KatanaSamurai_APose_SPAttack05_Root_Montage.KatanaSamurai_APose_SPAttack05_Root_Montage""',PlayRatio=1.000000,StartSection="""",HittedEffect=(Effect=ParticleSystem'""/Game/InfinityBladeEffects/Effects/FX_Combat_Base/Impact/P_Impact_Enemy_Fire_Strong.P_Impact_Enemy_Fire_Strong""',EffectTransform=(Rotation=(X=0.000000,Y=0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),HitSound=SoundCue'""/Game/Sounds/Enemy/Hitted/Katana_Hit_Cue.Katana_Hit_Cue""'),bCanMove=False)","False","Shift_Attack","10.000000"
10,"False","0.000000","None","(Montage=AnimMontage'""/Game/_Character/_Player/_Third_Player/Animations/Katana/Attack/Skill/KatanaSamurai_APose_SPAttack05_Root_Montage.KatanaSamurai_APose_SPAttack05_Root_Montage""',PlayRatio=1.000000,StartSection="""",HittedEffect=(Effect=ParticleSystem'""/Game/InfinityBladeEffects/Effects/FX_Combat_Base/Impact/P_Impact_Enemy_Fire_Strong.P_Impact_Enemy_Fire_Strong""',EffectTransform=(Rotation=(X=0.000000,Y=0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),HitSound=SoundCue'""/Game/Sounds/Enemy/Hitted/Katana_Hit_Cue.Katana_Hit_Cue""'),bCanMove=False)","False","Back_Attack","10.000000"
